RunName,SpoligoType(MiruHero),SpoligoType(Spotyping),MiruType(MiruHero),MiruType(mirureader),Lineage(MiruHero),Lineages(tb-profiler),Resistance(tb-profiler),Family(SpolLineages)
GCA_001324445.1_7935_3_90_genomic,703777740003771,703777740003771,212212141222311222111312,2121222212324221412222-2,East-African Indian,lineage3,ND,CAS1-Delhi
GCA_001318645.1_6505_5_1_genomic,000000000000000,000000000000000,------------------------,------------------------,Cannot be determined,lineage4.9,ND,ATYPICAL
GCA_001323465.1_7156_7_92_genomic,000000000003771,000000000003771,213222121221211411211122,222113222-22222121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001318825.1_5237_8_6_genomic,677737607760771,677737607760771,2222231222212112--112-12,2-2212222--31231-2222--2,Euro-American,lineage4.3.4.1,capreomycin(R),LAM
GCA_001322625.1_6954_7_9_genomic,774777777420771,774777777420771,214212113221213221111212,21-11-221222322113222-12,Euro-American,lineage4.2.1,ND,Ural-1
GCA_001321765.1_6954_8_56_genomic,777777607760771,777777607760771,1222231212-1111211122-22,112-12232213123121322-11,Euro-American,lineage4.3.3,rifampicin(R),LAM9
GCA_001323865.1_7755_5_70_genomic,000000000003771,000000000003771,2122221222212125-1121122,213112232522222122322-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001322665.1_6972_6_37_genomic,777777377760771,777777377760771,1121131212221-22-11-1112,113122121212213121222-12,Euro-American,lineage4.8,ND,T4
GCA_001318925.1_6505_1_7_genomic,703573740003771,703573740003771,22112211-121--12-----1--,2-22-1---2--2-21-------2,East-African Indian,ND,capreomycin(R),CAS1-Delhi
GCA_001318425.1_6505_1_1_genomic,703777747770671,703777747770671,1-11-21111123-11---1-1--,--2-2----1--------------,Cannot be determined,lineage3.1.3,ND,Manu3
GCA_001323925.1_7755_5_71_genomic,777777777760771,777777777760771,221122122221111221112112,212-11122213222122222-12,Euro-American,lineage4.8,ND,T1
GCA_001324205.1_7755_2_27_genomic,777760007760771,777760007760771,1122251212211112-1113-22,11211222221412-121322--2,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001322605.1_6954_1_65_genomic,000000000003771,000000000003771,213222121321211211322122,2-2113232223222121332-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001322525.1_6586_8_6_genomic,777777777760771,777777777760771,222322131225211221211112,2222-232-222222131222212,Euro-American,lineage4.1.3,rifampicin(R),T1
GCA_001322285.1_6954_1_96_genomic,000000000003771,000000000003771,213224123322211411112122,212123222-23224123332-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001318845.1_5237_8_9_genomic,774137607760771,774137607760771,2223221312211-121-1--1-1,2-221231221324-1-11211-2,Euro-American,lineage4.3.2,ND,LAM5
GCA_001324625.1_7935_3_82_genomic,000000000003731,000000000003731,212212131222211431322112,2-2122231-23222131222-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001321725.1_6954_8_69_genomic,000000000003771,000000000003771,212212151421411231311122,2-2112221--22221-13-2312,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001321745.1_6954_8_55_genomic,777777770000771,777777770000771,2-3122122221211211112122,212013122223222122322-12,Euro-American,lineage4.8,streptomycin(R),Unknown
GCA_001323885.1_7755_3_82_genomic,000000000003771,000000000003771,232222141322211221112112,212-222222232221412322-2,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001322945.1_7156_7_86_genomic,000000000003771,000000000003771,212222121222211221212122,222122222223222121322212,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001322785.1_7755_3_67_genomic,777777777760771,777777777760771,21212212222-212251111114,21310212222222212222-5-2,Euro-American,lineage4.8,ND,T1
GCA_001323845.1_7841_7_74_genomic,000000000003771,000000000003771,223222121321211411221113,222213232-22222121233-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323805.1_7156_6_10_genomic,774777777020771,774777777420771,222222113222211222111112,212-22222222222113222--2,Euro-American,lineage4.2.1,isoniazid(R),H3
GCA_001323605.1_7755_2_5_genomic,000000000003771,000000000003771,212222121321312421111112,213112222-32222121232212,East Asian,lineage2.2.1,ND,Beijing
GCA_001324585.1_7935_3_85_genomic,000000000003771,000000000003771,213212141223311221212122,22213322123322214132-212,East Asian,lineage2.2.1,ND,Beijing
GCA_001323345.1_7841_6_26_genomic,000000000003771,000000000003771,211222161321111411222112,222111232--32221-1232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001324245.1_7755_3_94_genomic,000000000003771,000000000003771,212222121221312421111122,213112222-322221213222-2,East Asian,lineage2.2.1,ND,Beijing
GCA_001322565.1_6586_8_7_genomic,777777777760771,777777777760771,212122123322211421111114,212122122-2222212323-2-2,Euro-American,lineage4.8,rifampicin(R),T1
GCA_001317885.1_5227_7_11_genomic,000000000003771,000000000003771,2222221212211114--11-112,2122122-----2221-1222--2,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001324405.1_7935_3_88_genomic,000000000003771,000000000003771,213222161322211421211112,222123222-222221-1232212,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001323545.1_7769_8_93_genomic,000000000003771,000000000003771,212222142322211211222112,222122232223222142232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323305.1_7755_4_16_genomic,707777770160731,707777770160731,2223221222221111211-1122,212222322112222122322212,Euro-American,lineage4.8,streptomycin(R),T2
GCA_001322725.1_7156_7_70_genomic,000000000003771,000000000003771,212222121322212211122212,213122232223322121232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001321925.1_6954_7_30_genomic,000000000003771,000000000003771,222222122321212211111112,213-12222-22222122232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001322225.1_6972_6_43_genomic,000000000003771,000000000003771,2121131212212-22-1111122,213112121222213121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323565.1_7755_4_39_genomic,000000000003771,000000000003771,212225121322211421212122,222122222-23225121332-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001318285.1_6505_1_2_genomic,703777747770071,703777747770071,2212221121222-111-1--214,21222-2--12-3-21-221-1-2,Cannot be determined,lineage3.1.3,ND,Unknown
GCA_001323725.1_7841_7_52_genomic,000000000003771,000000000003771,223322122322211312122122,212223332-23222122332-22,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001317365.1_ASM131736v1_genomic,000000000003771,000000000003771,2233281c3533513532423323,2442333325544281C3353223,East Asian,lineage2.2.1,ND,Beijing
GCA_001322485.1_6954_1_79_genomic,777777777420771,777777777420771,223225113221212211121112,213-13232222225113222-12,Euro-American,lineage4.2.1,ND,Ural-1
GCA_001323085.1_7755_3_93_genomic,000000000003771,000000000003771,222222122322212211411112,243-22222222222122232--2,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001323005.1_7841_6_40_genomic,000000000003771,000000000003771,212212151222212321112123,213122221-232221-1323212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323105.1_7769_8_69_genomic,000000000003771,000000000003771,222222141221211421211222,222212222-22322141322--2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322705.1_7841_6_21_genomic,000000000003771,000000000003771,223212121322211411111122,212223221-22222121332-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322085.1_6954_1_70_genomic,777737777420771,777737777420771,213224113322311111112112,2121232221-3224113232-12,Euro-American,lineage4.2.1.1,ND,Ural-1
GCA_001322765.1_7769_7_26_genomic,000000000003771,000000000003771,232222122323211531112112,212-32222-23222122232312,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001323905.1_7156_7_77_genomic,000000000003771,000000000003771,213222122222211221222122,222123232223222122322-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001324465.1_7935_3_71_genomic,000000000003771,000000000003771,212222121222211411111122,212122222-22222121322-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001322685.1_6972_6_35_genomic,000000000003771,000000000003771,2231141222312-22-1212112,223213121223214122222-13,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001318665.1_5319_2_11_genomic,000000000003771,000000000003771,212222131221111311121122,2121122----22221-1322--2,East Asian,lineage2.2.1,ND,Beijing
GCA_001324545.1_7935_3_84_genomic,703777740003771,703777740003771,2132221222323112-2122122,212123232233222122222--3,East-African Indian,lineage3,ND,CAS1-Delhi
GCA_001322325.1_6972_6_40_genomic,000000000003771,000000000003771,2221121212211-12211121-2,212212121213212121122212,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001323225.1_7755_2_39_genomic,777777777760771,777777777760771,2122221222211114212-1112,2-2112222-1222-122222212,Euro-American,lineage4.8,ND,T1
GCA_001323245.1_7314_8_85_genomic,000000000003771,000000000003771,222222121222211421121122,212222232-222221213222-2,East Asian,lineage2.2.1,ND,Beijing
GCA_001319005.1_5237_7_11_genomic,776777777760731,776777777760731,2122221222211113-1116112,21211222---7222122222--2,Euro-American,lineage4.1.2.1,ND,T2
GCA_001318905.1_6505_1_11_genomic,777777774020731,777777774020731,2112621111211-12--11-1--,21-11-22-2---121-11----2,Euro-American,lineage4.1,capreomycin(R),H1
GCA_001324105.1_7156_6_29_genomic,777777777760771,777777777760771,2122251223222122111-2112,213122222-23225122232-12,Euro-American,lineage4.8,ND,T1
GCA_001317965.1_5227_6_7_genomic,777737557760771,777737557760771,21222213132231131-111112,2121-222----2221-1232--2,Euro-American,lineage4.7,ND,T5-Madrid2
GCA_001323045.1_7755_5_58_genomic,000000000003771,000000000003771,212222122223212321112112,213132222-23222122222212,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001318085.1_5227_7_10_genomic,000000000003771,000000000003771,21232213132111131-111112,2121123-2--22221-1232--2,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001318605.1_5505_8_5_genomic,000000000003771,000000000003771,2-21111112211-12-1222112,2220121312132111-1222-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001323745.1_7841_6_11_genomic,000000000003771,000000000003771,222322122223211311122123,212-32332-23222122323--2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001317985.1_5227_5_2_genomic,777777607760771,777777607760771,21222213122221132-111-12,2-212222---21221--22-2-2,Euro-American,lineage4.3,ND,LAM9
GCA_001323705.1_7841_6_13_genomic,000000000003771,000000000003771,223222121222211331112122,212-23222-23222121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001318625.1_5505_8_4_genomic,000000000003771,000000000003771,2111111111221-12-1221112,2-21211312122111-1212-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001324285.1_7314_8_76_genomic,000000000003771,000000000003771,212222122322212421121112,213122232-22222122232-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001318445.1_6505_5_10_genomic,000000000003771,000000000003771,222121111122-112-11-111-,2--2221------2-1--21---3,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001324565.1_7935_3_77_genomic,000000000003771,000000000003771,2322221212212124-1111122,213-12222-22222121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323645.1_7755_5_49_genomic,777777774020771,777777774020771,213224141321211111112113,212113222123224141233112,Euro-American,lineage4.1.2.1,rifampicin(R),H1
GCA_001318005.1_5227_6_4_genomic,770600000200050,770600000200050,1--1111121--1-12---111-1,1-202-121--1211112111--1,Euro-American,lineage4.2.2.1,ND,AFRI
GCA_001322365.1_6954_8_87_genomic,000000000003771,000000000003771,222222121221212311121122,213-12232-22222121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323145.1_7769_8_68_genomic,777740003760771,777740003760771,112224142222211221122-22,112122232223124142322212,Euro-American,lineage4.3.3,ND,T1
GCA_001318125.1_4948_5_4_genomic,763777557760771,763777557760771,2124121212211122--11--2-,2131--42-21---21-132---2,Euro-American,lineage4.7,ND,T5-Madrid2
GCA_001322925.1_7841_6_37_genomic,777777377760771,777777377760771,212222122321211321112112,212112222323222122232-12,Euro-American,lineage4.1.2,ND,T4
GCA_001324165.1_7769_8_89_genomic,000000000003771,000000000003771,222214121321212221122112,213-12231223224121232-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001318525.1_5477_7_10_genomic,777701777760771,777701777760771,2221111212213-12112-1112,222212111232221121222112,Euro-American,lineage4.4.1.2,ofloxacin(R),T1
GCA_001321685.1_6972_6_21_genomic,000000000003771,000000000003771,2221231222312-12-1122122,212212132223213122322-13,East Asian,lineage2.2.1,ND,Beijing
GCA_001323285.1_7841_6_28_genomic,377737777420771,377737777420771,2142221133214121-2212112,2231142221-3222113232-22,Euro-American,lineage4.2.1.1,ND,Ural-1
GCA_001318745.1_5477_7_1_genomic,000000000003771,000000000003771,2121111112221-12-1121112,2121221312122111-1222-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001324045.1_7769_7_6_genomic,777737777420731,777737777420731,214222113222312122212112,2231242221332221132222-2,Euro-American,lineage4.2.1.1,rifampicin(R),Ural-1
GCA_001324425.1_7935_3_89_genomic,000000000003771,000000000003771,212222151321211222112112,2121122222232221-1232222,East Asian,lineage2.2.1.1,ofloxacin(R),Beijing
GCA_001323185.1_7755_2_37_genomic,734777777420731,734777777420731,214225113221211222122122,212114232223225113322--2,Euro-American,lineage4.2.1,rifampicin(R),Ural-1
GCA_001323525.1_7755_4_38_genomic,000000000003771,000000000003771,212222121322212211112112,213122222-23222121232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001318765.1_4948_5_3_genomic,777737557760771,777737557760771,2122121233111-121-111112,2121-2-2-2--2--1-3-3---1,Euro-American,lineage4.7,ND,T5-Madrid2
GCA_001321985.1_6954_7_43_genomic,777777777760771,777777777760771,21212412132-213221122114,21-102132223224121234-12,Euro-American,lineage4.8,rifampicin(R),T1
GCA_001324005.1_7755_2_12_genomic,774777777420771,774777777420771,234128113222211222111222,212-24122222328113322--2,Euro-American,lineage4.2.1,isoniazid(R),Ural-1
GCA_001318705.1_5319_2_8_genomic,000000000003771,000000000003771,212228131221111411221112,2-21122-2--22281-1222--2,East Asian,lineage2.2.1.1,ND,Beijing
GCA_001318805.1_6505_5_5_genomic,777777777760771,777777777760771,2-1--2---1211-11-----1--,2---1------------------3,Euro-American,lineage4,ND,T1
GCA_001322865.1_7755_3_73_genomic,777777777740131,777777777740131,212224121221211221311322,232112222222424121322--2,Euro-American,lineage4.1.2,ND,T2
GCA_001318965.1_6505_2_9_genomic,776177607760771,776177607760771,2211111111231-12-12211-1,2222311312122111-1111-12,Euro-American,lineage4.3.2,ND,LAM3
GCA_001322245.1_6954_1_59_genomic,000000000003771,000000000003771,212222121221111331112122,212112222-13222121322312,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001323965.1_7755_3_75_genomic,777777600060771,777777600060771,2222221213-11-12-1212-12,222212222213112121232-11,Euro-American,lineage4.3.4.2,isoniazid(R),T1
GCA_001318945.1_6505_2_8_genomic,654000003413771,654000003413771,1211221111-11-21-1111132,1132111-21-22-2111412-11,Indo-Oceanic,lineage1.2.1.2.1,ND,EAI2-Nonthaburi
GCA_001322465.1_6954_1_94_genomic,000000000003771,000000000003771,213222121321211411512212,2-2113222-23322121232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323025.1_7755_2_18_genomic,000000000003771,000000000003771,212222132322211421212112,222122222-23222132232212,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001323625.1_7755_4_48_genomic,000000000003771,000000000003771,222222122221211421112122,212-12222-23222122322212,East Asian,lineage2.2.1,ND,Beijing
GCA_001324185.1_7755_3_96_genomic,777777777760731,777777777760731,232122121222211221112124,212-2212222322212132---2,Euro-American,lineage4.8,ND,T2
GCA_001323065.1_7755_5_59_genomic,774777777420771,774777777420771,214225113221112222112122,213114222213225113322--2,Euro-American,lineage4.2.1,ND,Ural-1
GCA_001322745.1_7156_7_67_genomic,000000000003771,000000000003771,232222122222211311212122,222-22222-23222122322-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001318725.1_6505_2_6_genomic,776177607760771,776177607760771,2211211111211-12-12111-1,22221112221221-111111-12,Euro-American,lineage4.3.2,ND,LAM3
GCA_001321905.1_6972_6_23_genomic,000000000003771,000000000003771,2131131113322-12-1311112,2-2123121222213111232-13,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322505.1_6954_1_92_genomic,000000000003771,000000000003771,212225131221212211121112,213112232222225131222-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001322885.1_7841_7_91_genomic,000000000003771,000000000003771,212222122323211311211112,222132222322222122232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001324125.1_7769_7_5_genomic,000000000003771,000000000003771,213222123322212421112112,213123222-23222123232212,East Asian,lineage2.2.1,ND,Beijing
GCA_001318065.1_4925_1_3_genomic,777776207460771,777776207460771,1---221-12131--1--2-1-1-,----------1-------------,Euro-American,lineage4,ND,LAM9
GCA_001318985.1_6505_4_7_genomic,774137607760771,774137607760771,2211211111222-12--2121-1,2222211222232111-1112-12,Euro-American,lineage4.3.2,ND,LAM5
GCA_001324025.1_7769_8_58_genomic,000000000003771,000000000003771,212225131322311211211112,222122222232225131232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001323945.1_7769_8_53_genomic,000000000003771,000000000003771,232225142322212421131112,213-22242-22225142232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001317945.1_5227_7_3_genomic,737777607760700,737777607760700,2122221212212-131-112-12,212112222--411-121-22--2,Euro-American,lineage4.3.4.2,ND,LAM4
GCA_001323265.1_7314_8_84_genomic,777777607760771,777777607760771,212222133222111221212-22,2221222222131221333222-2,Euro-American,lineage4.3.3,rifampicin(R),LAM9
GCA_001322985.1_7841_6_16_genomic,777777777760771,777777777760771,212122132322221221311113,23212212222223213223---2,Euro-American,lineage4.8,ND,T1
GCA_001322025.1_6954_1_55_genomic,000000000003771,000000000003771,212212131321212211111212,213112221222322131232-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001323385.1_7755_4_43_genomic,000000000003771,000000000003771,222325142332211421112212,212222322-233251422322-3,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001321805.1_6954_8_67_genomic,003777607760771,003777607760771,112213122222111211112-22,112122221213123122322-12,Euro-American,lineage4.3.3,ND,LAM1
GCA_001322125.1_6954_8_73_genomic,000000000003771,000000000003771,223222151222211221222112,222223232-232221-1222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322805.1_7156_7_68_genomic,777760007760771,777760007760771,112223121222211211123-11,112122232224123121221312,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001323165.1_7755_3_89_genomic,000000000003771,000000000003771,212222132322212311111212,213122222-22322132232--2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001324325.1_7841_7_70_genomic,000000000003771,000000000003771,222222122322211321112112,212-22222-23222122232212,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001318885.1_5319_2_3_genomic,777000377760771,777000377760771,2121261123222111-1111112,21212212-122-26112232--2,Euro-American,lineage4.2.2.2,streptomycin(R),T3-ETH
GCA_001319025.1_6505_4_8_genomic,774137607760771,774137607760771,2112121122211-22-12221-1,223111231-132121-2121-12,Euro-American,lineage4.3.2,ND,LAM5
GCA_001324385.1_7935_3_66_genomic,000000000003771,000000000003771,213222122321211411321113,2-2113232-22222122233-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322185.1_6954_7_27_genomic,000000000003771,000000000003771,212222121222211211111122,212122222-22222121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323505.1_7156_7_91_genomic,000000000003771,000000000003771,213222122321213411121112,21-113232-22222122232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323485.1_7841_7_80_genomic,777740003760771,777740003760771,112223123223211211122-22,112132232223123123322--2,Euro-American,lineage4.3.3,ND,T1
GCA_001324145.1_7755_5_81_genomic,776377777760771,776377777760771,2323221212223112211-1112,212-22312232222121222--2,Euro-American,lineage4.4.1.1,ND,S
GCA_001322425.1_6954_8_88_genomic,000000000003771,000000000003771,212222152322311412121112,212122232-322221-2232-22,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322105.1_6954_7_14_genomic,000000000003771,000000000003771,212222141222312231132122,213122242233222141322312,East Asian,lineage2.2.1,ND,Beijing
GCA_001318785.1_4948_5_2_genomic,777737557760771,777737557760771,2122121212212122--8--111,28-11221-2--2--1-1-2----,Euro-American,lineage4.7,ND,T5-Madrid2
GCA_001322905.1_7755_3_72_genomic,775777740003771,775777740003771,222225131322211231441112,242222232222225131232312,Indo-Oceanic,lineage2.2,streptomycin(R),Unknown
GCA_001318585.1_5237_7_10_genomic,000000000000771,000000000000771,212224121321111311212112,222112222--32241-1232--2,East Asian,lineage2.2.2,streptomycin(R),Beijing
GCA_001322145.1_6954_1_56_genomic,000000000003771,000000000003771,212222121221211211411122,2-2112222222222121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001324685.1_7935_3_72_genomic,000000000003771,000000000003771,212222131223212521211122,223132222322222131322212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322165.1_6972_6_10_genomic,777760007760771,777760007760771,1111111212211-11-1112--2,112111121113111121122-12,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001324605.1_7935_3_74_genomic,000000000003771,000000000003771,213222121221211421321122,2-2113232422222121322-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001322545.1_6954_8_66_genomic,000000000003771,000000000003771,212222131322212211111112,213122222222222131232-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001323325.1_7755_3_84_genomic,777577777760771,777577777760771,2132251312211122211-1112,213113222212225131222212,Euro-American,lineage4.8,ND,T1
GCA_001323445.1_7769_8_72_genomic,000000000003771,000000000003771,212322131321211421111212,212-12322-22322131232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322445.1_6972_6_15_genomic,777777777760471,777777777760471,2122211112222-1221112112,212122222223211111222212,Euro-American,lineage4.1.2,ethionamide(R),T1
GCA_001321665.1_6954_1_49_genomic,000000000003771,000000000003771,232222111221211211131122,212-122-2222222111322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001321785.1_6954_7_48_genomic,000000000003771,000000000003771,213212141221211331411122,2-2113221-222221-1322312,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001323985.1_7769_7_19_genomic,777777607760771,777777607760771,112224123222211221123-22,112122232224124123322212,Euro-American,lineage4.3.3,rifampicin(R),LAM9
GCA_001324305.1_7769_7_34_genomic,777776777760771,777776777760771,212222122322311331121212,2121222323323221222323-2,Euro-American,lineage4.1,ND,X1
GCA_001323665.1_7841_6_5_genomic,747777770060771,747777770060771,213214122222112322111112,213123221-12224122222-22,Euro-American,lineage4.7,ND,T1
GCA_001322005.1_6954_8_51_genomic,000000000003771,000000000003771,213222141321212321111112,213113222-222221-1232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001324065.1_7156_7_81_genomic,000000000003771,000000000003771,212222122321212411321112,2-3112232-22222122232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322965.1_7156_7_87_genomic,000000000003771,000000000003771,212222131321211411112222,212112222-23322131332-12,East Asian,lineage2.2.1,pyrazinamide(R),Beijing
GCA_001317865.1_5227_8_2_genomic,000000000003771,000000000003771,212222131322111311111112,2-21222-2----221-12-2--2,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001322845.1_7755_2_22_genomic,774777777020771,774777777420771,212225113221212211112112,213112222223225113222--2,Euro-American,lineage4.2.1,ND,H3
GCA_001318045.1_5227_8_10_genomic,777777777760771,777777777760771,212212151321211111111212,212112221122-22151232--2,Euro-American,lineage4.1.2.1,streptomycin(R),T1
GCA_001318165.1_6505_5_7_genomic,377577777760671,377577777760671,-----1------1-11--1-----,------------------------,Euro-American,lineage4,ND,T1
GCA_001324525.1_7935_3_87_genomic,000000000003771,000000000003771,213222122222211421211112,222123222-22222122222-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001324365.1_7935_3_56_genomic,000000000003771,000000000003771,212222122222212311212122,223122222323222122322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001323125.1_7841_6_20_genomic,000000000003771,000000000003771,212224131322312312112112,213122222--3224131232-22,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322825.1_7841_7_61_genomic,777777777760731,777777777760731,212122141221212211211112,223112122222222131222412,Euro-American,lineage4.8,ND,T2
GCA_001323825.1_7841_7_75_genomic,000000000003771,000000000003771,223212122221211331112122,212-13221-23222122322312,East Asian,lineage2.2.1,ND,Beijing
GCA_001324485.1_7935_3_68_genomic,000000000003771,000000000003771,2122221412222124-1211222,223122222-22322141322-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
